gnuplot> fit g(x) 'function4.txt' using 1:2 via c
iter      chisq       delta/lim  lambda   c
   0 3.3991225818e+20   0.00e+00  5.83e+08    1.010601e+03
   1 3.3923651965e+14  -1.00e+11  5.83e+07    1.035525e+00
   2 3.0677028901e+09  -1.11e+10  5.83e+06    2.596954e-02
   3 3.0676689674e+09  -1.11e+00  5.83e+05    2.595945e-02
   4 3.0676689674e+09   0.00e+00  5.83e+04    2.595945e-02
iter      chisq       delta/lim  lambda   c

After 4 iterations the fit converged.
final sum of squares of residuals : 3.06767e+09
rel. change during last iteration : 0

degrees of freedom    (FIT_NDF)                        : 999
rms of residuals      (FIT_STDFIT) = sqrt(WSSR/ndf)    : 1752.35
variance of residuals (reduced chisquare) = WSSR/ndf   : 3.07074e+06

Final set of parameters            Asymptotic Standard Error
=======================            ==========================
c               = 0.0259594        +/- 9.605e-05    (0.37%)

754002 20021
755002 18799
756002 21070
757002 20720
758002 18975
759002 20429
760002 19461
761002 20138
762002 20324
763002 19497
764002 20025
765002 21542
766002 19692
767002 20596
768002 20634
769002 20877
770002 19666
771002 20767
772002 19618
773002 20152
774002 17947
775002 19895
776002 18158
777002 19896
778002 19777
779002 20453
780002 19739
781002 20411
782002 22699
783002 19966
784002 19023
785002 29309
786002 24146
787002 20921
788002 20351
789002 21952
790002 20369
791002 19305
792002 19835
793002 21835
794002 22336
795002 19875
796002 21615
797002 21293
798002 21981
799002 22952
800002 19868
801002 22264
802002 22113
803002 20997
804002 21046
805002 22010
806002 20964
807002 21750
808002 22124
809002 21672
810002 22370
811002 20602
812002 22093
813002 20870
814002 22652
815002 20889
816002 23955
817002 21928
818002 21479
819002 21460
820002 21966
821002 21581
822002 21983
823002 22327
824002 22845
825002 21977
826002 21466
827002 22600
828002 22556
829002 22198
830002 22919
831002 33743
832002 24688
833002 23857
834002 21265
835002 22953
836002 22924
837002 23257
838002 22885
839002 23036
840002 22681
841002 22442
842002 21865
843002 23774
844002 23318
845002 24564
846002 25451
847002 21808
848002 24234
849002 24163
850002 25625
851002 22994
852002 23848
853002 24055
854002 23384
855002 23358
856002 22729
857002 25046
858002 23308
859002 24615
860002 25957
861002 24497
862002 22460
863002 23168
864002 23364
865002 22930
866002 23372
867002 25175
868002 23266
869002 22940
870002 22285
871002 24300
872002 23299
873002 35097
874002 24953
875002 24125
876002 25172
877002 22611
878002 25322
879002 24734
880002 22568
881002 24515
882002 25092
883002 24359
884002 25922
885002 22969
886002 23922
887002 24631
888002 23895
889002 25040
890002 23277
891002 23676
892002 24872
893002 23822
894002 26202
895002 23488
896002 24953
897002 23557
898002 22927
899002 24271
900002 25787
901002 25806
902002 24018
903002 24816
904002 24526
905002 24896
906002 26062
907002 26099
908002 25054
909002 32760
910002 30490
911002 24641
912002 30822
913002 28142
914002 24952
915002 23180
916002 24773
917002 23813
918002 27279
919002 26435
920002 25554
921002 26243
922002 25804
923002 23168
924002 25019
925002 25516
926002 25296
927002 26218
928002 25640
929002 24720
930002 24831
931002 24753
932002 25678
933002 25331
934002 25950
935002 28498
936002 25337
937002 23853
938002 26008
939002 25768
940002 26162
941002 25932
942002 25410
943002 25933
944002 25521
945002 24983
946002 24797
947002 24454
948002 25724
949002 24852
950002 25108
951002 29737
952002 30306
953002 27909
954002 25642
955002 26437
956002 26510
957002 26669
958002 26323
959002 26808
960002 25817
961002 25670
962002 26621
963002 26319
964002 25659
965002 27005
966002 26838
967002 26603
968002 26857
969002 28302
970002 26121
971002 26684
972002 26320
973002 27034
974002 25453
975002 27657
976002 26997
977002 26110
978002 27153
979002 27655
980002 26890
981002 26295
982002 27893
983002 28880
984002 26368
985002 27022
986002 28945
987002 28363
988002 35488
989002 30115
990002 29179
991002 27535
992002 26210
993002 27150
994002 27362
995002 26507
996002 27522
997002 29886
998002 27375
999002 27542
